
TTD - Therapeutic Targets Database Full Data Download File
Title - Wiki pathway data for all TTD targets
Version 7.1.01 (2019.07.14)
Provided by IDRB   Lab of Innovative Drug Reasearch and Bioinformatics
                   College of Pharmaceutical Sciences
                   Zhejiang University
                   https://idrblab.org/
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/
Any question about data provided here, please contact with:
Dr. Wang (lfwyx@zju.edu.cn) and Dr. Li (lifengcheng@zju.edu.cn)

--------------------------------------------------------------------------------------------------------

TTDID	Wiki pathway ID	Wiki pathway name
T00176	WP2261	Signaling Pathways in Glioblastoma
T00176	WP1984	Integrated Breast Cancer Pathway
T00176	WP1971	Integrated Cancer pathway
T00176	WP179	Cell Cycle
T00176	WP1775	Cell Cycle Checkpoints
T00176	WP1742	TP53 Network
T00176	WP1530	miRNA Regulation of DNA Damage Response
T00176	WP138	Androgen receptor signaling pathway
T00238	WP75	Toll-like receptor signaling pathway
T00238	WP710	DNA Damage Response (only ATM dependent)
T00238	WP706	SIDS Susceptibility Pathways
T00238	WP2794	Cytosolic sensors of pathogen-associated DNA 
T00238	WP2656	TAK1 activates NFkB by phosphorylation and activation of IKKs complex
T00238	WP262	EBV LMP1 signaling
T00238	WP231	TNF alpha Signaling Pathway
T00238	WP2203	TSLP Signaling Pathway
T00238	WP2064	Neural Crest Differentiation
T00238	WP2036	TWEAK Signaling Pathway
T00238	WP2018	RANKL/RANK Signaling Pathway
T00238	WP1904	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
T00238	WP1838	Interleukin-1 processing
T00238	WP176	Folate Metabolism
T00238	WP1533	Vitamin B12 Metabolism
T00238	WP15	Selenium Micronutrient Network
T00238	WP1449	Regulation of toll-like receptor signaling pathway
T00239	WP530	Cytokines and Inflammatory Response
T00239	WP453	Inflammatory Response Pathway
T00239	WP395	IL-4 Signaling Pathway
T00239	WP2431	Spinal Cord Injury
T00239	WP2328	Allograft Rejection
T00239	WP176	Folate Metabolism
T00299	WP2754	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell
T00299	WP1602	Nicotine Activity on Dopaminergic Neurons
T00419	WP383	Striated Muscle Contraction
T00419	WP1864	Muscle contraction
T00420	WP2684	Host Interactions of HIV factors
T00420	WP2658	HIV Life Cycle
T00494	WP430	Statin Pathway
T00494	WP299	Nuclear Receptors in Lipid Metabolism and Toxicity
T00494	WP2797	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
T00494	WP2764	Lipid digestion, mobilization, and transport
T00494	WP2011	SREBF and miR33 in cholesterol and lipid homeostasis
T00494	WP176	Folate Metabolism
T00494	WP1533	Vitamin B12 Metabolism
T00494	WP15	Selenium Micronutrient Network
T00663	WP75	Toll-like receptor signaling pathway
T00663	WP710	DNA Damage Response (only ATM dependent)
T00663	WP524	G13 Signaling Pathway
T00663	WP481	Insulin Signaling
T00663	WP428	Wnt Signaling Pathway
T00663	WP422	MAPK Cascade
T00663	WP408	Oxidative Stress
T00663	WP399	Wnt Signaling Pathway and Pluripotency
T00663	WP384	Apoptosis Modulation by HSP70
T00663	WP382	MAPK Signaling Pathway
T00663	WP2643	Nanoparticle-mediated activation of receptor signaling
T00663	WP2637	Structural Pathway of Interleukin 1 (IL-1)
T00663	WP254	Apoptosis
T00663	WP2380	BDNF signaling pathway
T00663	WP185	Integrin-mediated Cell Adhesion
T00663	WP1449	Regulation of toll-like receptor signaling pathway
T00820	WP2669	Potassium Channels
T00820	WP1831	Integration of energy metabolism
T00820	WP1584	Type II diabetes mellitus
T00884	WP455	GPCRs, Class A Rhodopsin-like
T00884	WP2848	Differentiation Pathway
T00884	WP24	Peptide GPCRs
T00884	WP1825	GPCR ligand binding
T00884	WP1824	GPCR downstream signaling
T00884	WP117	GPCRs, Other
T00895	WP666	Hypothetical Network for Drug Addiction
T00895	WP536	Calcium Regulation in the Cardiac Cell
T00895	WP428	Wnt Signaling Pathway
T00895	WP399	Wnt Signaling Pathway and Pluripotency
T00895	WP35	G Protein Signaling Pathways
T00895	WP289	Myometrial Relaxation and Contraction Pathways
T00895	WP2374	Oncostatin M Signaling Pathway
T00895	WP2012	miRs in Muscle Cell Differentiation
T00895	WP1824	GPCR downstream signaling
T00895	WP1809	Effects of PIP2 hydrolysis
T00895	WP1528	Physiological and Pathological Hypertrophy  of the Heart
T00902	WP382	MAPK Signaling Pathway
T00902	WP2848	Differentiation Pathway
T01283	WP2658	HIV Life Cycle
T01283	WP1846	Membrane Trafficking
T01318	WP1851	Metabolism of nucleotides
T01575	WP2788	Sphingolipid metabolism
T01597	WP710	DNA Damage Response (only ATM dependent)
T01597	WP465	Tryptophan metabolism
T01597	WP408	Oxidative Stress
T01597	WP2824	Detoxification of Reactive Oxygen Species
T01597	WP2447	Amyotrophic lateral sclerosis (ALS)
T01597	WP1851	Metabolism of nucleotides
T01597	WP176	Folate Metabolism
T01597	WP15	Selenium Micronutrient Network
T01777	WP58	Monoamine GPCRs
T01777	WP455	GPCRs, Class A Rhodopsin-like
T01777	WP1884	Platelet Aggregation (Plug Formation)
T01777	WP1831	Integration of energy metabolism
T01777	WP1825	GPCR ligand binding
T01777	WP1824	GPCR downstream signaling
T01851	WP366	TGF beta Signaling Pathway
T01851	WP313	Signaling of Hepatocyte Growth Factor Receptor
T01851	WP306	Focal Adhesion
T01851	WP2839	Hair Follicle Development: Organogenesis (Part 2 of 3)
T01851	WP2703	Extracellular matrix organization
T01851	WP2666	Elastic fibre formation
T01851	WP2643	Nanoparticle-mediated activation of receptor signaling
T01851	WP2593	JAK/STAT
T01851	WP2572	Primary Focal Segmental Glomerulosclerosis FSGS
T01851	WP2272	Pathogenic Escherichia coli infection
T01851	WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy
T01851	WP2064	Neural Crest Differentiation
T01851	WP1907	Semaphorin interactions
T01851	WP1883	Platelet Adhesion to exposed collagen
T01851	WP185	Integrin-mediated Cell Adhesion
T01851	WP1843	L1CAM interactions
T01851	WP1833	Integrin cell surface interactions
T01851	WP1829	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
T01851	WP1794	Cell surface interactions at the vascular wall
T01851	WP1793	Cell junction organization
T01908	WP2263	Prostate Cancer
T02001	WP35	G Protein Signaling Pathways
T02001	WP289	Myometrial Relaxation and Contraction Pathways
T02001	WP2032	TSH signaling pathway
T02134	WP3	Transcriptional activation by NRF2
T02134	WP2884	NRF2 pathway
T02134	WP2882	Nuclear Receptors Meta-Pathway
T02134	WP2693	Metabolism of amino acids and derivatives
T02134	WP2525	Trans-sulfuration and one carbon metabolism
T02134	WP2333	Trans-sulfuration pathway
T02134	WP1880	Phase II conjugation
T02134	WP100	Glutathione metabolism
T02318	WP2431	Spinal Cord Injury
T02333	WP474	Endochondral Ossification
T02333	WP2678	Prolactin receptor signaling
T02333	WP2657	Growth hormone receptor signaling
T02532	WP1794	Cell surface interactions at the vascular wall
T02551	WP58	Monoamine GPCRs
T02551	WP455	GPCRs, Class A Rhodopsin-like
T02551	WP1825	GPCR ligand binding
T02551	WP1824	GPCR downstream signaling
T02551	WP1602	Nicotine Activity on Dopaminergic Neurons
T02551	WP117	GPCRs, Other
T02562	WP2650	Arachidonic acid metabolism
T02562	WP167	Eicosanoid Synthesis
T02617	WP706	SIDS Susceptibility Pathways
T02617	WP2848	Differentiation Pathway
T02617	WP2670	Iron uptake and transport
T02617	WP2007	Iron metabolism in placenta
T02677	WP395	IL-4 Signaling Pathway
T02677	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer
T02677	WP2757	Mitotic Metaphase and Anaphase
T02677	WP2652	Mitotic Prometaphase
T02677	WP254	Apoptosis
T02677	WP2332	Interleukin-11 Signaling Pathway
T02677	WP1772	Apoptosis Modulation and Signaling
T02703	WP619	Type II interferon signaling (IFNG)
T02703	WP2431	Spinal Cord Injury
T02703	WP2324	AGE/RAGE pathway
T02703	WP1995	Effects of Nitric Oxide
T02719	WP501	GPCRs, Class C Metabotropic glutamate, pheromone
T02719	WP1825	GPCR ligand binding
T02719	WP1824	GPCR downstream signaling
T02728	WP455	GPCRs, Class A Rhodopsin-like
T02728	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
T02728	WP24	Peptide GPCRs
T02728	WP1825	GPCR ligand binding
T02728	WP1824	GPCR downstream signaling
T02728	WP117	GPCRs, Other
T02752	WP455	GPCRs, Class A Rhodopsin-like
T02752	WP2865	IL1 and megakaryotyces in obesity
T02752	WP286	IL-3 Signaling Pathway
T02752	WP24	Peptide GPCRs
T02752	WP1825	GPCR ligand binding
T02752	WP1824	GPCR downstream signaling
T02808	WP75	Toll-like receptor signaling pathway
T02808	WP619	Type II interferon signaling (IFNG)
T02808	WP615	Senescence and Autophagy in Cancer
T02808	WP530	Cytokines and Inflammatory Response
T02808	WP262	EBV LMP1 signaling
T02808	WP1904	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
T02808	WP1835	Interferon alpha/beta signaling
T02808	WP1449	Regulation of toll-like receptor signaling pathway
T02808	WP12	Osteoclast Signaling
T03313	WP49	IL-2 Signaling Pathway
T03313	WP453	Inflammatory Response Pathway
T03313	WP2732	Interleukin-2 signaling
T03313	WP2328	Allograft Rejection
T03313	WP2203	TSLP Signaling Pathway
T03313	WP205	IL-7 Signaling Pathway
T03313	WP1840	Interleukin-3, 5 and GM-CSF signaling
T03346	WP453	Inflammatory Response Pathway
T03346	WP395	IL-4 Signaling Pathway
T03500	WP366	TGF beta Signaling Pathway
T03500	WP2708	Degradation of collagen
T03500	WP129	Matrix Metalloproteinases
T03556	WP2877	Vitamin D Receptor Pathway
T03556	WP236	Adipogenesis
T03556	WP1897	Regulation of beta-cell development
T03573	WP1829	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
T03634	WP706	SIDS Susceptibility Pathways
T03634	WP560	TGF Beta Signaling Pathway
T03634	WP399	Wnt Signaling Pathway and Pluripotency
T03634	WP366	TGF beta Signaling Pathway
T03634	WP364	IL-6 signaling pathway
T03634	WP2797	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
T03634	WP2794	Cytosolic sensors of pathogen-associated DNA 
T03634	WP2786	Pre-NOTCH Expression and Processing
T03634	WP2751	Transcriptional Regulation of White Adipocyte Differentiation
T03634	WP2738	YAP1- and WWTR1 (TAZ)-stimulated gene expression
T03634	WP2727	Regulation of Hypoxia-inducible Factor (HIF) by Oxygen
T03634	WP2720	Signaling by NOTCH1
T03634	WP2706	Activation of Gene Expression by SREBP (SREBF)
T03634	WP268	Notch Signaling Pathway
T03634	WP2377	Integrated Pancreatic Cancer Pathway
T03634	WP231	TNF alpha Signaling Pathway
T03634	WP1904	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
T03634	WP1822	Generic Transcription Pathway
T03634	WP1815	Factors involved in megakaryocyte development and platelet production
T03634	WP1797	Circadian Clock
T03634	WP1539	Angiogenesis
T03634	WP138	Androgen receptor signaling pathway
T03644	WP2858	Ectoderm Differentiation
T03644	WP2371	Parkinsons Disease Pathway
T03644	WP2359	Parkin-Ubiquitin Proteasomal System pathway
T03644	WP2059	Alzheimers Disease
T03661	WP1851	Metabolism of nucleotides
T03691	WP2650	Arachidonic acid metabolism
T03691	WP167	Eicosanoid Synthesis
T03755	WP254	Apoptosis
T03755	WP1772	Apoptosis Modulation and Signaling
T03818	WP363	Wnt Signaling Pathway Netpath
T03818	WP299	Nuclear Receptors in Lipid Metabolism and Toxicity
T03818	WP2895	Differentiation of white and brown adipocyte   
T03818	WP2797	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
T03818	WP2751	Transcriptional Regulation of White Adipocyte Differentiation
T03818	WP236	Adipogenesis
T03818	WP1982	SREBP signalling
T03818	WP170	Nuclear Receptors
T03871	WP732	Serotonin Receptor 2 and ELK-SRF/GATA4 signaling
T03871	WP710	DNA Damage Response (only ATM dependent)
T03871	WP69	TCR Signaling Pathway
T03871	WP673	ErbB Signaling Pathway
T03871	WP615	Senescence and Autophagy in Cancer
T03871	WP560	TGF Beta Signaling Pathway
T03871	WP49	IL-2 Signaling Pathway
T03871	WP481	Insulin Signaling
T03871	WP437	EGF/EGFR Signaling Pathway
T03871	WP422	MAPK Cascade
T03871	WP400	p38 MAPK Signaling Pathway
T03871	WP35	G Protein Signaling Pathways
T03871	WP313	Signaling of Hepatocyte Growth Factor Receptor
T03871	WP304	Kit receptor signaling pathway
T03871	WP2870	Extracellular vesicle-mediated signaling in recipient cells
T03871	WP286	IL-3 Signaling Pathway
T03871	WP2828	Bladder Cancer
T03871	WP2781	Signaling by ERBB4
T03871	WP2780	Signaling by ERBB2
T03871	WP2759	Fc epsilon receptor (FCERI) signaling
T03871	WP2754	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell
T03871	WP2746	Signaling by the B Cell Receptor (BCR)
T03871	WP2735	RAF/MAP kinase cascade
T03871	WP2732	Interleukin-2 signaling
T03871	WP2713	Signaling by SCF-KIT
T03871	WP2694	DAP12 interactions
T03871	WP2677	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
T03871	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
T03871	WP2643	Nanoparticle-mediated activation of receptor signaling
T03871	WP2593	JAK/STAT
T03871	WP2586	Aryl Hydrocarbon Receptor
T03871	WP2526	PDGF Pathway
T03871	WP244	Alpha 6 Beta 4 signaling pathway
T03871	WP2380	BDNF signaling pathway
T03871	WP2374	Oncostatin M Signaling Pathway
T03871	WP2332	Interleukin-11 Signaling Pathway
T03871	WP231	TNF alpha Signaling Pathway
T03871	WP23	B Cell Receptor Signaling Pathway
T03871	WP2290	RalA downstream regulated genes
T03871	WP2263	Prostate Cancer
T03871	WP2261	Signaling Pathways in Glioblastoma
T03871	WP2034	Leptin signaling pathway
T03871	WP1916	Signaling by PDGF
T03871	WP1913	Signaling by Insulin receptor
T03871	WP1911	Signaling by FGFR
T03871	WP1910	Signaling by EGFR
T03871	WP1873	NGF signalling via TRKA from the plasma membrane
T03871	WP1866	NCAM signaling for neurite out-growth
T03871	WP185	Integrin-mediated Cell Adhesion
T03871	WP1840	Interleukin-3, 5 and GM-CSF signaling
T03871	WP1794	Cell surface interactions at the vascular wall
T04084	WP673	ErbB Signaling Pathway
T04084	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer
T04084	WP2261	Signaling Pathways in Glioblastoma
T04084	WP2005	miR-targeted genes in muscle cell - TarBase
T04084	WP1591	Heart Development
T04321	WP2763	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways
T04361	WP75	Toll-like receptor signaling pathway
T04361	WP710	DNA Damage Response (only ATM dependent)
T04361	WP69	TCR Signaling Pathway
T04361	WP481	Insulin Signaling
T04361	WP400	p38 MAPK Signaling Pathway
T04361	WP399	Wnt Signaling Pathway and Pluripotency
T04361	WP382	MAPK Signaling Pathway
T04361	WP366	TGF beta Signaling Pathway
T04361	WP364	IL-6 signaling pathway
T04361	WP314	FAS pathway and Stress induction of HSP regulation
T04361	WP288	NLR Proteins
T04361	WP2801	MyD88 cascade initiated on plasma membrane
T04361	WP2795	Cardiac Hypertrophic Response
T04361	WP2792	MAP kinase activation in TLR cascade
T04361	WP2768	MyD88 dependent cascade initiated on endosome
T04361	WP2763	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways
T04361	WP2761	MyD88:Mal cascade initiated on plasma membrane
T04361	WP2759	Fc epsilon receptor (FCERI) signaling
T04361	WP2752	MyD88-independent cascade 
T04361	WP2746	Signaling by the B Cell Receptor (BCR)
T04361	WP2656	TAK1 activates NFkB by phosphorylation and activation of IKKs complex
T04361	WP2637	Structural Pathway of Interleukin 1 (IL-1)
T04361	WP262	EBV LMP1 signaling
T04361	WP231	TNF alpha Signaling Pathway
T04361	WP23	B Cell Receptor Signaling Pathway
T04361	WP2112	IL17 signaling pathway
T04361	WP2036	TWEAK Signaling Pathway
T04361	WP2018	RANKL/RANK Signaling Pathway
T04361	WP195	IL-1 signaling pathway
T04361	WP1927	TCR signaling
T04361	WP1839	Interleukin-1 signaling
T04361	WP1449	Regulation of toll-like receptor signaling pathway
T04507	WP2754	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell
T04507	WP1843	L1CAM interactions
T04773	WP3297	EV release from cardiac cells and their functional effects
T04773	WP2781	Signaling by ERBB4
T04773	WP2328	Allograft Rejection
T04773	WP2005	miR-targeted genes in muscle cell - TarBase
T04773	WP2004	miR-targeted genes in lymphocytes - TarBase
T04773	WP1825	GPCR ligand binding
T04773	WP1824	GPCR downstream signaling
T04831	WP619	Type II interferon signaling (IFNG)
T04831	WP2771	Host Interactions with Influenza Factors
T04831	WP2377	Integrated Pancreatic Cancer Pathway
T04831	WP107	Translation Factors
T04902	WP306	Focal Adhesion
T04902	WP2377	Integrated Pancreatic Cancer Pathway
T04902	WP2059	Alzheimers Disease
T04902	WP185	Integrin-mediated Cell Adhesion
T04945	WP707	DNA Damage Response
T04945	WP69	TCR Signaling Pathway
T04945	WP384	Apoptosis Modulation by HSP70
T04945	WP314	FAS pathway and Stress induction of HSP regulation
T04945	WP254	Apoptosis
T04945	WP2377	Integrated Pancreatic Cancer Pathway
T04945	WP236	Adipogenesis
T04945	WP2328	Allograft Rejection
T04945	WP2059	Alzheimers Disease
T04945	WP1814	Extrinsic Pathway for Apoptosis
T04945	WP1772	Apoptosis Modulation and Signaling
T04945	WP1530	miRNA Regulation of DNA Damage Response
T05031	WP75	Toll-like receptor signaling pathway
T05031	WP710	DNA Damage Response (only ATM dependent)
T05031	WP524	G13 Signaling Pathway
T05031	WP51	Regulation of Actin Cytoskeleton
T05031	WP481	Insulin Signaling
T05031	WP2759	Fc epsilon receptor (FCERI) signaling
T05031	WP2747	PI Metabolism
T05031	WP2732	Interleukin-2 signaling
T05031	WP2719	Fcgamma receptor (FCGR) dependent phagocytosis
T05031	WP2694	DAP12 interactions
T05031	WP2677	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
T05031	WP2653	PIP3 activates AKT signaling
T05031	WP2261	Signaling Pathways in Glioblastoma
T05031	WP1927	TCR signaling
T05031	WP1916	Signaling by PDGF
T05031	WP1913	Signaling by Insulin receptor
T05031	WP1873	NGF signalling via TRKA from the plasma membrane
T05031	WP1867	Nephrin interactions
T05031	WP1840	Interleukin-3, 5 and GM-CSF signaling
T05031	WP1826	GPVI-mediated activation cascade
T05031	WP1794	Cell surface interactions at the vascular wall
T05031	WP1544	MicroRNAs in cardiomyocyte hypertrophy
T05031	WP1449	Regulation of toll-like receptor signaling pathway
T05031	WP1403	AMPK Signaling
T05034	WP534	Glycolysis and Gluconeogenesis
T05034	WP2693	Metabolism of amino acids and derivatives
T05034	WP1848	Metabolism of carbohydrates
T05034	WP106	Alanine and aspartate metabolism
T05114	WP554	ACE Inhibitor Pathway
T05114	WP2729	Metabolism of Angiotensinogen to Angiotensins
T05409	WP2729	Metabolism of Angiotensinogen to Angiotensins
T05409	WP2572	Primary Focal Segmental Glomerulosclerosis FSGS
T05409	WP2059	Alzheimers Disease
T05643	WP2380	BDNF signaling pathway
T05643	WP1976	Signalling by NGF
T05661	WP430	Statin Pathway
T05661	WP2764	Lipid digestion, mobilization, and transport
T05722	WP702	Metapathway biotransformation
T05722	WP696	Benzo(a)pyrene metabolism
T05849	WP455	GPCRs, Class A Rhodopsin-like
T05849	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
T05849	WP2597	Secretion of Hydrochloric Acid in Parietal Cells
T05849	WP24	Peptide GPCRs
T05849	WP1825	GPCR ligand binding
T05849	WP1824	GPCR downstream signaling
T05849	WP117	GPCRs, Other
T06031	WP722	Serotonin HTR1 Group and FOS Pathway
T06031	WP710	DNA Damage Response (only ATM dependent)
T06031	WP585	Interferon type I signaling pathways
T06031	WP481	Insulin Signaling
T06031	WP437	EGF/EGFR Signaling Pathway
T06031	WP422	MAPK Cascade
T06031	WP400	p38 MAPK Signaling Pathway
T06031	WP384	Apoptosis Modulation by HSP70
T06031	WP382	MAPK Signaling Pathway
T06031	WP314	FAS pathway and Stress induction of HSP regulation
T06031	WP2801	MyD88 cascade initiated on plasma membrane
T06031	WP2795	Cardiac Hypertrophic Response
T06031	WP2768	MyD88 dependent cascade initiated on endosome
T06031	WP2761	MyD88:Mal cascade initiated on plasma membrane
T06031	WP2759	Fc epsilon receptor (FCERI) signaling
T06031	WP2637	Structural Pathway of Interleukin 1 (IL-1)
T06031	WP2571	Polycystic Kidney Disease Pathway
T06031	WP254	Apoptosis
T06031	WP2526	PDGF Pathway
T06031	WP2380	BDNF signaling pathway
T06031	WP231	TNF alpha Signaling Pathway
T06031	WP195	IL-1 signaling pathway
T06031	WP1904	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
T06037	WP75	Toll-like receptor signaling pathway
T06037	WP710	DNA Damage Response (only ATM dependent)
T06037	WP69	TCR Signaling Pathway
T06037	WP560	TGF Beta Signaling Pathway
T06037	WP481	Insulin Signaling
T06037	WP437	EGF/EGFR Signaling Pathway
T06037	WP428	Wnt Signaling Pathway
T06037	WP399	Wnt Signaling Pathway and Pluripotency
T06037	WP366	TGF beta Signaling Pathway
T06037	WP363	Wnt Signaling Pathway Netpath
T06037	WP2643	Nanoparticle-mediated activation of receptor signaling
T06037	WP2637	Structural Pathway of Interleukin 1 (IL-1)
T06037	WP2593	JAK/STAT
T06037	WP2516	ATM Signaling Pathway
T06037	WP2380	BDNF signaling pathway
T06037	WP2377	Integrated Pancreatic Cancer Pathway
T06037	WP2374	Oncostatin M Signaling Pathway
T06037	WP2355	Corticotropin-releasing hormone
T06037	WP2324	AGE/RAGE pathway
T06037	WP231	TNF alpha Signaling Pathway
T06037	WP23	B Cell Receptor Signaling Pathway
T06037	WP2203	TSLP Signaling Pathway
T06037	WP2036	TWEAK Signaling Pathway
T06037	WP2018	RANKL/RANK Signaling Pathway
T06037	WP195	IL-1 signaling pathway
T06037	WP1449	Regulation of toll-like receptor signaling pathway
T06046	WP554	ACE Inhibitor Pathway
T06046	WP437	EGF/EGFR Signaling Pathway
T06046	WP289	Myometrial Relaxation and Contraction Pathways
T06046	WP2593	JAK/STAT
T06046	WP2355	Corticotropin-releasing hormone
T06046	WP2324	AGE/RAGE pathway
T06046	WP2197	Endothelin Pathways
T06046	WP2034	Leptin signaling pathway
T06046	WP1995	Effects of Nitric Oxide
T06046	WP1850	Metabolism of nitric oxide
T06046	WP1539	Angiogenesis
T06093	WP524	G13 Signaling Pathway
T06093	WP51	Regulation of Actin Cytoskeleton
T06093	WP306	Focal Adhesion
T06093	WP2593	JAK/STAT
T06093	WP2431	Spinal Cord Injury
T06093	WP2272	Pathogenic Escherichia coli infection
T06093	WP2034	Leptin signaling pathway
T06093	WP1907	Semaphorin interactions
T06093	WP185	Integrin-mediated Cell Adhesion
T06093	WP1824	GPCR downstream signaling
T06093	WP1544	MicroRNAs in cardiomyocyte hypertrophy
T06093	WP138	Androgen receptor signaling pathway
T06182	WP706	SIDS Susceptibility Pathways
T06182	WP334	GPCRs, Class B Secretin-like
T06182	WP1825	GPCR ligand binding
T06182	WP1824	GPCR downstream signaling
T06273	WP314	FAS pathway and Stress induction of HSP regulation
T06273	WP2755	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
T06273	WP2513	Nanoparticle triggered regulated necrosis
T06273	WP2355	Corticotropin-releasing hormone
T06365	WP2693	Metabolism of amino acids and derivatives
T06365	WP106	Alanine and aspartate metabolism
T06421	WP75	Toll-like receptor signaling pathway
T06421	WP585	Interferon type I signaling pathways
T06421	WP1835	Interferon alpha/beta signaling
T06421	WP1449	Regulation of toll-like receptor signaling pathway
T06421	WP12	Osteoclast Signaling
T06475	WP2272	Pathogenic Escherichia coli infection
T06475	WP2006	miR-targeted genes in squamous cell - TarBase
T06475	WP2005	miR-targeted genes in muscle cell - TarBase
T06475	WP2004	miR-targeted genes in lymphocytes - TarBase
T06475	WP2002	miR-targeted genes in epithelium - TarBase
T06559	WP673	ErbB Signaling Pathway
T06559	WP3297	EV release from cardiac cells and their functional effects
T06569	WP2770	Reversible Hydration of Carbon Dioxide
T06575	WP2691	Peptide hormone biosynthesis
T06671	WP516	Hypertrophy Model
T06671	WP2865	IL1 and megakaryotyces in obesity
T06671	WP2355	Corticotropin-releasing hormone
T06671	WP1433	NOD pathway
T06841	WP75	Toll-like receptor signaling pathway
T06841	WP2873	Aryl Hydrocarbon Receptor Pathway
T06841	WP2328	Allograft Rejection
T06841	WP1449	Regulation of toll-like receptor signaling pathway
T06955	WP455	GPCRs, Class A Rhodopsin-like
T06955	WP24	Peptide GPCRs
T06955	WP1825	GPCR ligand binding
T06955	WP1824	GPCR downstream signaling
T07045	WP706	SIDS Susceptibility Pathways
T07045	WP1873	NGF signalling via TRKA from the plasma membrane
T07045	WP1825	GPCR ligand binding
T07045	WP1824	GPCR downstream signaling
T07087	WP69	TCR Signaling Pathway
T07087	WP49	IL-2 Signaling Pathway
T07087	WP313	Signaling of Hepatocyte Growth Factor Receptor
T07087	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer
T07087	WP2732	Interleukin-2 signaling
T07087	WP259	Nifedipine Activity
T07087	WP2380	BDNF signaling pathway
T07087	WP2374	Oncostatin M Signaling Pathway
T07087	WP2263	Prostate Cancer
T07087	WP205	IL-7 Signaling Pathway
T07087	WP1909	Signal regulatory protein (SIRP) family interactions
T07173	WP382	MAPK Signaling Pathway
T07173	WP2380	BDNF signaling pathway
T07173	WP2377	Integrated Pancreatic Cancer Pathway
