
TTD - Therapeutic Targets Database Full Data Download File
Title - KEGG pathway data for TTD research targets only
Version 7.1.01 (2019.07.14)
Provided by IDRB   Lab of Innovative Drug Reasearch and Bioinformatics
                   College of Pharmaceutical Sciences
                   Zhejiang University
                   https://idrblab.org/
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/
Any question about data provided here, please contact with:
Dr. Wang (lfwyx@zju.edu.cn) and Dr. Li (lifengcheng@zju.edu.cn)

--------------------------------------------------------------------------------------------------------

TTDID	KEGG pathway ID	KEGG pathway name
T06037	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
T06037	hsa05131	Shigellosis
T06037	hsa05132	Salmonella infection
T06037	hsa05133	Pertussis
T06037	hsa05142	Chagas disease (American trypanosomiasis)
T06037	hsa05145	Toxoplasmosis
T06037	hsa05152	Tuberculosis
T06037	hsa05160	Hepatitis C
T06037	hsa05161	Hepatitis B
T06037	hsa05164	Influenza A
T06037	hsa05168	Herpes simplex infection
T06037	hsa05169	Epstein-Barr virus infection
T06037	hsa05200	Pathways in cancer
T06037	hsa05210	Colorectal cancer
T06037	hsa05212	Pancreatic cancer
T06037	hsa05231	Choline metabolism in cancer
T06365	hsa00250	Alanine, aspartate and glutamate metabolism
T06365	hsa00260	Glycine, serine and threonine metabolism
T06365	hsa00630	Glyoxylate and dicarboxylate metabolism
T06365	hsa01100	Metabolic pathways
T06365	hsa01130	Biosynthesis of antibiotics
T06365	hsa01200	Carbon metabolism
T06365	hsa04146	Peroxisome
T06559	hsa04012	ErbB signaling pathway
T06559	hsa04020	Calcium signaling pathway
T06559	hsa04144	Endocytosis
T06559	hsa05205	Proteoglycans in cancer
T07087	hsa04020	Calcium signaling pathway
T07087	hsa04062	Chemokine signaling pathway
T07087	hsa04650	Natural killer cell mediated cytotoxicity
T07087	hsa04670	Leukocyte transendothelial migration
T07087	hsa04912	GnRH signaling pathway
T07087	hsa05161	Hepatitis B
T08074	hsa03320	PPAR signaling pathway
T08074	hsa04068	FoxO signaling pathway
T08074	hsa04071	Sphingolipid signaling pathway
T08074	hsa04150	mTOR signaling pathway
T08074	hsa04151	PI3K-Akt signaling pathway
T08074	hsa04152	AMPK signaling pathway
T08074	hsa04510	Focal adhesion
T08074	hsa04660	T cell receptor signaling pathway
T08074	hsa04664	Fc epsilon RI signaling pathway
T08074	hsa04722	Neurotrophin signaling pathway
T08074	hsa04910	Insulin signaling pathway
T08074	hsa04919	Thyroid hormone signaling pathway
T08074	hsa04960	Aldosterone-regulated sodium reabsorption
T08074	hsa05145	Toxoplasmosis
T08074	hsa05160	Hepatitis C
T08074	hsa05205	Proteoglycans in cancer
T08074	hsa05213	Endometrial cancer
T08074	hsa05215	Prostate cancer
T08074	hsa05223	Non-small cell lung cancer
T08074	hsa05231	Choline metabolism in cancer
T08298	hsa04650	Natural killer cell mediated cytotoxicity
T08298	hsa04940	Type I diabetes mellitus
T08298	hsa05202	Transcriptional misregulation in cancer
T08298	hsa05320	Autoimmune thyroid disease
T08298	hsa05330	Allograft rejection
T08298	hsa05332	Graft-versus-host disease
T08813	hsa04210	Apoptosis
T08813	hsa04910	Insulin signaling pathway
T09130	hsa04020	Calcium signaling pathway
T09130	hsa04024	cAMP signaling pathway
T09130	hsa04080	Neuroactive ligand-receptor interaction
T09130	hsa04151	PI3K-Akt signaling pathway
T09130	hsa04725	Cholinergic synapse
T09130	hsa04810	Regulation of actin cytoskeleton
T09215	mtu00630	Glyoxylate and dicarboxylate metabolism
T09215	mtu01100	Metabolic pathways
T09215	mtu01110	Biosynthesis of secondary metabolites
T09215	mtu01120	Microbial metabolism in diverse environments
T09215	mtu01200	Carbon metabolism
T09694	hsa04911	Insulin secretion
T09694	hsa04922	Glucagon signaling pathway
T09935	hsa04068	FoxO signaling pathway
T09935	hsa04152	AMPK signaling pathway
T09935	hsa04910	Insulin signaling pathway
T09935	hsa04919	Thyroid hormone signaling pathway
T09935	hsa04922	Glucagon signaling pathway
T09935	hsa05200	Pathways in cancer
T09935	hsa05202	Transcriptional misregulation in cancer
T09935	hsa05215	Prostate cancer
T10052	hsa04110	Cell cycle
T10052	hsa04114	Oocyte meiosis
T10052	hsa04115	p53 signaling pathway
T10052	hsa04151	PI3K-Akt signaling pathway
T10052	hsa05161	Hepatitis B
T10052	hsa05162	Measles
T10052	hsa05200	Pathways in cancer
T10052	hsa05203	Viral carcinogenesis
T10052	hsa05206	MicroRNAs in cancer
T10052	hsa05215	Prostate cancer
T10052	hsa05222	Small cell lung cancer
T10091	hsa04744	Phototransduction
T10252	hsa04668	TNF signaling pathway
T10252	hsa05152	Tuberculosis
T10252	hsa05202	Transcriptional misregulation in cancer
T10937	hsa04068	FoxO signaling pathway
T10937	hsa04110	Cell cycle
T10937	hsa04115	p53 signaling pathway
T10937	hsa04120	Ubiquitin mediated proteolysis
T10937	hsa04144	Endocytosis
T10937	hsa04151	PI3K-Akt signaling pathway
T10937	hsa04919	Thyroid hormone signaling pathway
T10937	hsa05169	Epstein-Barr virus infection
T10937	hsa05200	Pathways in cancer
T10937	hsa05202	Transcriptional misregulation in cancer
T10937	hsa05203	Viral carcinogenesis
T10937	hsa05205	Proteoglycans in cancer
T10937	hsa05206	MicroRNAs in cancer
T10937	hsa05214	Glioma
T10937	hsa05215	Prostate cancer
T10937	hsa05218	Melanoma
T10937	hsa05219	Bladder cancer
T10937	hsa05220	Chronic myeloid leukemia
T11241	hsa04071	Sphingolipid signaling pathway
T11241	hsa04080	Neuroactive ligand-receptor interaction
T11453	hsa04911	Insulin secretion
T11747	hsa04010	MAPK signaling pathway
T11747	hsa04722	Neurotrophin signaling pathway
T11747	hsa04912	GnRH signaling pathway
T11747	hsa05166	HTLV-I infection
T11754	hsa04723	Retrograde endocannabinoid signaling
T12052	hsa03040	Spliceosome
T12126	mmu04010	MAPK signaling pathway
T12126	mmu04932	Non-alcoholic fatty liver disease (NAFLD)
T12627	hsa00020	Citrate cycle (TCA cycle)
T12627	hsa00630	Glyoxylate and dicarboxylate metabolism
T12627	hsa01100	Metabolic pathways
T12627	hsa01130	Biosynthesis of antibiotics
T12627	hsa01200	Carbon metabolism
T12627	hsa01210	2-Oxocarboxylic acid metabolism
T12627	hsa01230	Biosynthesis of amino acids
T12817	hsa03040	Spliceosome
T12817	hsa04010	MAPK signaling pathway
T12817	hsa04141	Protein processing in endoplasmic reticulum
T12817	hsa04144	Endocytosis
T12817	hsa04612	Antigen processing and presentation
T12817	hsa04915	Estrogen signaling pathway
T12817	hsa05134	Legionellosis
T12817	hsa05145	Toxoplasmosis
T12817	hsa05162	Measles
T12817	hsa05164	Influenza A
T12817	hsa05169	Epstein-Barr virus infection
T13086	hsa04360	Axon guidance
T13453	hsa04080	Neuroactive ligand-receptor interaction
T13795	hsa04080	Neuroactive ligand-receptor interaction
T14557	hsa04060	Cytokine-cytokine receptor interaction
T14557	hsa04630	Jak-STAT signaling pathway
T14557	hsa05145	Toxoplasmosis
T14557	hsa05152	Tuberculosis
T14557	hsa05169	Epstein-Barr virus infection
T15514	hsa04152	AMPK signaling pathway
T15514	hsa04950	Maturity onset diabetes of the young
T15851	hsa00240	Pyrimidine metabolism
T15851	hsa00983	Drug metabolism - other enzymes
T15851	hsa01100	Metabolic pathways
T16650	hsa04080	Neuroactive ligand-receptor interaction
T16650	hsa04912	GnRH signaling pathway
T16650	hsa04913	Ovarian steroidogenesis
T16650	hsa04917	Prolactin signaling pathway
T16650	hsa04918	Thyroid hormone synthesis
T16650	hsa05320	Autoimmune thyroid disease
T16731	hsa00190	Oxidative phosphorylation
T16731	hsa01100	Metabolic pathways
T16731	hsa04145	Phagosome
T16731	hsa04721	Synaptic vesicle cycle
T16731	hsa04966	Collecting duct acid secretion
T16731	hsa05110	Vibrio cholerae infection
T16731	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
T16731	hsa05323	Rheumatoid arthritis
T17367	hsa04380	Osteoclast differentiation
T19011	hsa04110	Cell cycle
T19011	hsa04114	Oocyte meiosis
T19011	hsa04914	Progesterone-mediated oocyte maturation
T19011	hsa05206	MicroRNAs in cancer
T19923	hsa04014	Ras signaling pathway
T19923	hsa04064	NF-kappa B signaling pathway
T19923	hsa04151	PI3K-Akt signaling pathway
T19923	hsa04210	Apoptosis
T19923	hsa04630	Jak-STAT signaling pathway
T19923	hsa05014	Amyotrophic lateral sclerosis (ALS)
T19923	hsa05145	Toxoplasmosis
T19923	hsa05166	HTLV-I infection
T19923	hsa05200	Pathways in cancer
T19923	hsa05202	Transcriptional misregulation in cancer
T19923	hsa05212	Pancreatic cancer
T19923	hsa05220	Chronic myeloid leukemia
T19923	hsa05222	Small cell lung cancer
T20669	hsa04010	MAPK signaling pathway
T20669	hsa04014	Ras signaling pathway
T20669	hsa04020	Calcium signaling pathway
T20669	hsa04024	cAMP signaling pathway
T20669	hsa04062	Chemokine signaling pathway
T20669	hsa04114	Oocyte meiosis
T20669	hsa04210	Apoptosis
T20669	hsa04261	Adrenergic signaling in cardiomyocytes
T20669	hsa04270	Vascular smooth muscle contraction
T20669	hsa04310	Wnt signaling pathway
T20669	hsa04340	Hedgehog signaling pathway
T20669	hsa04540	Gap junction
T20669	hsa04611	Platelet activation
T20669	hsa04713	Circadian entrainment
T20669	hsa04720	Long-term potentiation
T20669	hsa04723	Retrograde endocannabinoid signaling
T20669	hsa04724	Glutamatergic synapse
T20669	hsa04725	Cholinergic synapse
T20669	hsa04726	Serotonergic synapse
T20669	hsa04727	GABAergic synapse
T20669	hsa04728	Dopaminergic synapse
T20669	hsa04740	Olfactory transduction
T20669	hsa04742	Taste transduction
T20669	hsa04750	Inflammatory mediator regulation of TRP channels
T20669	hsa04910	Insulin signaling pathway
T20669	hsa04911	Insulin secretion
T20669	hsa04912	GnRH signaling pathway
T20669	hsa04913	Ovarian steroidogenesis
T20669	hsa04914	Progesterone-mediated oocyte maturation
T20669	hsa04915	Estrogen signaling pathway
T20669	hsa04916	Melanogenesis
T20669	hsa04918	Thyroid hormone synthesis
T20669	hsa04919	Thyroid hormone signaling pathway
T20669	hsa04921	Oxytocin signaling pathway
T20669	hsa04922	Glucagon signaling pathway
T20669	hsa04923	Regulation of lipolysis in adipocytes
T20669	hsa04924	Renin secretion
T20669	hsa04961	Endocrine and other factor-regulated calcium reabsorption
T20669	hsa04962	Vasopressin-regulated water reabsorption
T20669	hsa04970	Salivary secretion
T20669	hsa04971	Gastric acid secretion
T20669	hsa04976	Bile secretion
T20669	hsa05012	Parkinson's disease
T20669	hsa05020	Prion diseases
T20669	hsa05030	Cocaine addiction
T20669	hsa05031	Amphetamine addiction
T20669	hsa05032	Morphine addiction
T20669	hsa05034	Alcoholism
T20669	hsa05110	Vibrio cholerae infection
T20669	hsa05146	Amoebiasis
T20669	hsa05166	HTLV-I infection
T20669	hsa05169	Epstein-Barr virus infection
T20669	hsa05200	Pathways in cancer
T20669	hsa05203	Viral carcinogenesis
T20669	hsa05205	Proteoglycans in cancer
T20669	hsa05414	Dilated cardiomyopathy
T20710	hsa04060	Cytokine-cytokine receptor interaction
T20710	hsa04144	Endocytosis
T20710	hsa04151	PI3K-Akt signaling pathway
T20710	hsa04630	Jak-STAT signaling pathway
T20710	hsa04640	Hematopoietic cell lineage
T20710	hsa05162	Measles
T20710	hsa05166	HTLV-I infection
T20975	hsa04962	Vasopressin-regulated water reabsorption
T22302	hsa04727	GABAergic synapse
T23000	hsa04666	Fc gamma R-mediated phagocytosis
T23000	hsa04810	Regulation of actin cytoskeleton
T23000	hsa05203	Viral carcinogenesis
T23003	hsa04010	MAPK signaling pathway
T23003	hsa04012	ErbB signaling pathway
T23003	hsa04014	Ras signaling pathway
T23003	hsa04015	Rap1 signaling pathway
T23003	hsa04022	cGMP-PKG signaling pathway
T23003	hsa04024	cAMP signaling pathway
T23003	hsa04062	Chemokine signaling pathway
T23003	hsa04066	HIF-1 signaling pathway
T23003	hsa04068	FoxO signaling pathway
T23003	hsa04071	Sphingolipid signaling pathway
T23003	hsa04114	Oocyte meiosis
T23003	hsa04151	PI3K-Akt signaling pathway
T23003	hsa04270	Vascular smooth muscle contraction
T23003	hsa04320	Dorso-ventral axis formation
T23003	hsa04370	VEGF signaling pathway
T23003	hsa04380	Osteoclast differentiation
T23003	hsa04510	Focal adhesion
T23003	hsa04540	Gap junction
T23003	hsa04550	Signaling pathways regulating pluripotency of stem cells
T23003	hsa04620	Toll-like receptor signaling pathway
T23003	hsa04650	Natural killer cell mediated cytotoxicity
T23003	hsa04660	T cell receptor signaling pathway
T23003	hsa04662	B cell receptor signaling pathway
T23003	hsa04664	Fc epsilon RI signaling pathway
T23003	hsa04666	Fc gamma R-mediated phagocytosis
T23003	hsa04668	TNF signaling pathway
T23003	hsa04720	Long-term potentiation
T23003	hsa04722	Neurotrophin signaling pathway
T23003	hsa04725	Cholinergic synapse
T23003	hsa04726	Serotonergic synapse
T23003	hsa04730	Long-term depression
T23003	hsa04810	Regulation of actin cytoskeleton
T23003	hsa04910	Insulin signaling pathway
T23003	hsa04912	GnRH signaling pathway
T23003	hsa04914	Progesterone-mediated oocyte maturation
T23003	hsa04915	Estrogen signaling pathway
T23003	hsa04916	Melanogenesis
T23003	hsa04917	Prolactin signaling pathway
T23003	hsa04919	Thyroid hormone signaling pathway
T23003	hsa04921	Oxytocin signaling pathway
T23003	hsa05020	Prion diseases
T23003	hsa05034	Alcoholism
T23003	hsa05161	Hepatitis B
T23003	hsa05164	Influenza A
T23003	hsa05200	Pathways in cancer
T23003	hsa05205	Proteoglycans in cancer
T23003	hsa05206	MicroRNAs in cancer
T23003	hsa05210	Colorectal cancer
T23003	hsa05211	Renal cell carcinoma
T23003	hsa05212	Pancreatic cancer
T23003	hsa05213	Endometrial cancer
T23003	hsa05214	Glioma
T23003	hsa05215	Prostate cancer
T23003	hsa05216	Thyroid cancer
T23003	hsa05218	Melanoma
T23003	hsa05219	Bladder cancer
T23003	hsa05220	Chronic myeloid leukemia
T23003	hsa05221	Acute myeloid leukemia
T23003	hsa05223	Non-small cell lung cancer
T23003	hsa05230	Central carbon metabolism in cancer
T23003	hsa05231	Choline metabolism in cancer
T24548	hsa00240	Pyrimidine metabolism
T24548	hsa00250	Alanine, aspartate and glutamate metabolism
T24548	hsa01100	Metabolic pathways
T24800	hsa04060	Cytokine-cytokine receptor interaction
T24800	hsa04064	NF-kappa B signaling pathway
T24800	hsa04380	Osteoclast differentiation
T24800	hsa04917	Prolactin signaling pathway
T24800	hsa05323	Rheumatoid arthritis
T25386	hsa05206	MicroRNAs in cancer
T25927	hsa04210	Apoptosis
T26617	hsa00052	Galactose metabolism
T26617	hsa01100	Metabolic pathways
T26617	hsa04973	Carbohydrate digestion and absorption
T26774	hsa04919	Thyroid hormone signaling pathway
T27297	hsa04010	MAPK signaling pathway
T27297	hsa04012	ErbB signaling pathway
T27297	hsa04015	Rap1 signaling pathway
T27297	hsa04062	Chemokine signaling pathway
T27297	hsa04510	Focal adhesion
T27297	hsa04666	Fc gamma R-mediated phagocytosis
T27297	hsa04722	Neurotrophin signaling pathway
T27297	hsa04810	Regulation of actin cytoskeleton
T27297	hsa04910	Insulin signaling pathway
T27297	hsa05100	Bacterial invasion of epithelial cells
T27297	hsa05131	Shigellosis
T27297	hsa05200	Pathways in cancer
T27297	hsa05206	MicroRNAs in cancer
T27297	hsa05211	Renal cell carcinoma
T27297	hsa05220	Chronic myeloid leukemia
T27954	hsa04010	MAPK signaling pathway
T27954	hsa04260	Cardiac muscle contraction
T27954	hsa04261	Adrenergic signaling in cardiomyocytes
T27954	hsa04921	Oxytocin signaling pathway
T27954	hsa05410	Hypertrophic cardiomyopathy (HCM)
T27954	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
T27954	hsa05414	Dilated cardiomyopathy
T28132	hsa04010	MAPK signaling pathway
T28132	hsa04260	Cardiac muscle contraction
T28132	hsa04261	Adrenergic signaling in cardiomyocytes
T28132	hsa04921	Oxytocin signaling pathway
T28132	hsa05410	Hypertrophic cardiomyopathy (HCM)
T28132	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
T28132	hsa05414	Dilated cardiomyopathy
T28343	hsa04110	Cell cycle
T28343	hsa05161	Hepatitis B
T28343	hsa05166	HTLV-I infection
T28343	hsa05200	Pathways in cancer
T28343	hsa05206	MicroRNAs in cancer
T28343	hsa05212	Pancreatic cancer
T28343	hsa05214	Glioma
T28343	hsa05215	Prostate cancer
T28343	hsa05218	Melanoma
T28343	hsa05219	Bladder cancer
T28343	hsa05220	Chronic myeloid leukemia
T28343	hsa05222	Small cell lung cancer
T28343	hsa05223	Non-small cell lung cancer
T28444	hsa04010	MAPK signaling pathway
T28705	hsa04115	p53 signaling pathway
T28705	hsa04210	Apoptosis
T28705	hsa04620	Toll-like receptor signaling pathway
T28705	hsa04621	NOD-like receptor signaling pathway
T28705	hsa04622	RIG-I-like receptor signaling pathway
T28705	hsa04668	TNF signaling pathway
T28705	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
T28705	hsa05010	Alzheimer's disease
T28705	hsa05016	Huntington's disease
T28705	hsa05134	Legionellosis
T28705	hsa05142	Chagas disease (American trypanosomiasis)
T28705	hsa05145	Toxoplasmosis
T28705	hsa05152	Tuberculosis
T28705	hsa05161	Hepatitis B
T28705	hsa05168	Herpes simplex infection
T28705	hsa05200	Pathways in cancer
T28705	hsa05203	Viral carcinogenesis
T28705	hsa05416	Viral myocarditis
T28729	hsa04110	Cell cycle
T28729	hsa05161	Hepatitis B
T28729	hsa05166	HTLV-I infection
T28729	hsa05200	Pathways in cancer
T28729	hsa05206	MicroRNAs in cancer
T28729	hsa05212	Pancreatic cancer
T28729	hsa05214	Glioma
T28729	hsa05215	Prostate cancer
T28729	hsa05218	Melanoma
T28729	hsa05219	Bladder cancer
T28729	hsa05220	Chronic myeloid leukemia
T28729	hsa05222	Small cell lung cancer
T28729	hsa05223	Non-small cell lung cancer
T28925	hsa00230	Purine metabolism
T28925	hsa00983	Drug metabolism - other enzymes
T28925	hsa01100	Metabolic pathways
T29148	hsa04514	Cell adhesion molecules (CAMs)
T29148	hsa04620	Toll-like receptor signaling pathway
T29148	hsa04672	Intestinal immune network for IgA production
T29148	hsa04940	Type I diabetes mellitus
T29148	hsa05320	Autoimmune thyroid disease
T29148	hsa05322	Systemic lupus erythematosus
T29148	hsa05323	Rheumatoid arthritis
T29148	hsa05330	Allograft rejection
T29148	hsa05332	Graft-versus-host disease
T29148	hsa05416	Viral myocarditis
T29303	hsa04728	Dopaminergic synapse
T30414	hsa04015	Rap1 signaling pathway
T30414	hsa04080	Neuroactive ligand-receptor interaction
T30414	hsa04611	Platelet activation
T30414	hsa05200	Pathways in cancer
T30823	hsa04110	Cell cycle
T30823	hsa04914	Progesterone-mediated oocyte maturation
T30823	hsa05206	MicroRNAs in cancer
T31032	hsa04010	MAPK signaling pathway
T31032	hsa04012	ErbB signaling pathway
T31032	hsa04014	Ras signaling pathway
T31032	hsa04015	Rap1 signaling pathway
T31032	hsa04022	cGMP-PKG signaling pathway
T31032	hsa04024	cAMP signaling pathway
T31032	hsa04066	HIF-1 signaling pathway
T31032	hsa04068	FoxO signaling pathway
T31032	hsa04071	Sphingolipid signaling pathway
T31032	hsa04151	PI3K-Akt signaling pathway
T31032	hsa04270	Vascular smooth muscle contraction
T31032	hsa04370	VEGF signaling pathway
T31032	hsa04540	Gap junction
T31032	hsa04550	Signaling pathways regulating pluripotency of stem cells
T31032	hsa04620	Toll-like receptor signaling pathway
T31032	hsa04650	Natural killer cell mediated cytotoxicity
T31032	hsa04660	T cell receptor signaling pathway
T31032	hsa04662	B cell receptor signaling pathway
T31032	hsa04664	Fc epsilon RI signaling pathway
T31032	hsa04720	Long-term potentiation
T31032	hsa04722	Neurotrophin signaling pathway
T31032	hsa04730	Long-term depression
T31032	hsa04810	Regulation of actin cytoskeleton
T31032	hsa04910	Insulin signaling pathway
T31032	hsa04912	GnRH signaling pathway
T31032	hsa04915	Estrogen signaling pathway
T31032	hsa04916	Melanogenesis
T31032	hsa04917	Prolactin signaling pathway
T31032	hsa04919	Thyroid hormone signaling pathway
T31032	hsa04921	Oxytocin signaling pathway
T31032	hsa05020	Prion diseases
T31032	hsa05161	Hepatitis B
T31032	hsa05164	Influenza A
T31032	hsa05200	Pathways in cancer
T31032	hsa05205	Proteoglycans in cancer
T31032	hsa05206	MicroRNAs in cancer
T31032	hsa05211	Renal cell carcinoma
T31032	hsa05213	Endometrial cancer
T31032	hsa05214	Glioma
T31032	hsa05215	Prostate cancer
T31032	hsa05216	Thyroid cancer
T31032	hsa05218	Melanoma
T31032	hsa05219	Bladder cancer
T31032	hsa05220	Chronic myeloid leukemia
T31032	hsa05221	Acute myeloid leukemia
T31032	hsa05223	Non-small cell lung cancer
T31032	hsa05230	Central carbon metabolism in cancer
T31032	hsa05231	Choline metabolism in cancer
T31543	hsa05206	MicroRNAs in cancer
T31946	hsa04014	Ras signaling pathway
T31946	hsa04015	Rap1 signaling pathway
T31946	hsa04060	Cytokine-cytokine receptor interaction
T31946	hsa04066	HIF-1 signaling pathway
T31946	hsa04144	Endocytosis
T31946	hsa04151	PI3K-Akt signaling pathway
T31946	hsa04510	Focal adhesion
T31946	hsa05202	Transcriptional misregulation in cancer
T31946	hsa05323	Rheumatoid arthritis
T32137	hsa04066	HIF-1 signaling pathway
T32137	hsa04145	Phagosome
T32137	hsa04380	Osteoclast differentiation
T32137	hsa04670	Leukocyte transendothelial migration
T32227	hsa04024	cAMP signaling pathway
T32880	hsa04066	HIF-1 signaling pathway
T32880	hsa05200	Pathways in cancer
T32880	hsa05211	Renal cell carcinoma
T33367	hsa00250	Alanine, aspartate and glutamate metabolism
T33367	hsa00270	Cysteine and methionine metabolism
T33367	hsa00330	Arginine and proline metabolism
T33367	hsa00350	Tyrosine metabolism
T33367	hsa00360	Phenylalanine metabolism
T33367	hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis
T33367	hsa01100	Metabolic pathways
T33367	hsa01130	Biosynthesis of antibiotics
T33367	hsa01200	Carbon metabolism
T33367	hsa01210	2-Oxocarboxylic acid metabolism
T33367	hsa01230	Biosynthesis of amino acids
T33969	hsa02010	ABC transporters
T33969	hsa04976	Bile secretion
T35158	hsa04020	Calcium signaling pathway
T35158	hsa04022	cGMP-PKG signaling pathway
T35158	hsa05012	Parkinson's disease
T35158	hsa05016	Huntington's disease
T35158	hsa05166	HTLV-I infection
T35474	hsa04010	MAPK signaling pathway
T35474	hsa04012	ErbB signaling pathway
T35474	hsa04014	Ras signaling pathway
T35474	hsa04015	Rap1 signaling pathway
T35474	hsa04062	Chemokine signaling pathway
T35474	hsa04068	FoxO signaling pathway
T35474	hsa04071	Sphingolipid signaling pathway
T35474	hsa04151	PI3K-Akt signaling pathway
T35474	hsa04320	Dorso-ventral axis formation
T35474	hsa04360	Axon guidance
T35474	hsa04370	VEGF signaling pathway
T35474	hsa04530	Tight junction
T35474	hsa04540	Gap junction
T35474	hsa04550	Signaling pathways regulating pluripotency of stem cells
T35474	hsa04650	Natural killer cell mediated cytotoxicity
T35474	hsa04660	T cell receptor signaling pathway
T35474	hsa04662	B cell receptor signaling pathway
T35474	hsa04664	Fc epsilon RI signaling pathway
T35474	hsa04720	Long-term potentiation
T35474	hsa04722	Neurotrophin signaling pathway
T35474	hsa04725	Cholinergic synapse
T35474	hsa04726	Serotonergic synapse
T35474	hsa04730	Long-term depression
T35474	hsa04810	Regulation of actin cytoskeleton
T35474	hsa04910	Insulin signaling pathway
T35474	hsa04912	GnRH signaling pathway
