
TTD - Therapeutic Targets Database Full Data Download File
Title - Wiki pathway data for TTD clinical trial targets only
Version 7.1.01 (2019.07.14)
Provided by IDRB   Lab of Innovative Drug Reasearch and Bioinformatics
                   College of Pharmaceutical Sciences
                   Zhejiang University
                   https://idrblab.org/
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/
Any question about data provided here, please contact with:
Dr. Wang (lfwyx@zju.edu.cn) and Dr. Li (lifengcheng@zju.edu.cn)

--------------------------------------------------------------------------------------------------------

TTDID	Wiki pathway ID	Wiki pathway name
T00176	WP1775	Cell Cycle Checkpoints
T00176	WP1742	TP53 Network
T00176	WP1530	miRNA Regulation of DNA Damage Response
T00176	WP138	Androgen receptor signaling pathway
T00238	WP75	Toll-like receptor signaling pathway
T00238	WP710	DNA Damage Response (only ATM dependent)
T00238	WP706	SIDS Susceptibility Pathways
T00238	WP2794	Cytosolic sensors of pathogen-associated DNA 
T00238	WP2656	TAK1 activates NFkB by phosphorylation and activation of IKKs complex
T00238	WP262	EBV LMP1 signaling
T00238	WP231	TNF alpha Signaling Pathway
T00238	WP2203	TSLP Signaling Pathway
T00238	WP2064	Neural Crest Differentiation
T00238	WP2036	TWEAK Signaling Pathway
T00238	WP2018	RANKL/RANK Signaling Pathway
T00238	WP1904	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
T00238	WP1838	Interleukin-1 processing
T00238	WP176	Folate Metabolism
T00238	WP1533	Vitamin B12 Metabolism
T00238	WP15	Selenium Micronutrient Network
T00238	WP1449	Regulation of toll-like receptor signaling pathway
T00239	WP530	Cytokines and Inflammatory Response
T00239	WP453	Inflammatory Response Pathway
T00239	WP395	IL-4 Signaling Pathway
T00239	WP2431	Spinal Cord Injury
T00239	WP2328	Allograft Rejection
T00239	WP176	Folate Metabolism
T00419	WP383	Striated Muscle Contraction
T00419	WP1864	Muscle contraction
T00420	WP2684	Host Interactions of HIV factors
T00420	WP2658	HIV Life Cycle
T01283	WP2658	HIV Life Cycle
T01283	WP1846	Membrane Trafficking
T01575	WP2788	Sphingolipid metabolism
T01597	WP710	DNA Damage Response (only ATM dependent)
T01597	WP465	Tryptophan metabolism
T01597	WP408	Oxidative Stress
T01597	WP2824	Detoxification of Reactive Oxygen Species
T01597	WP2447	Amyotrophic lateral sclerosis (ALS)
T01597	WP1851	Metabolism of nucleotides
T01597	WP176	Folate Metabolism
T01597	WP15	Selenium Micronutrient Network
T01851	WP366	TGF beta Signaling Pathway
T01851	WP313	Signaling of Hepatocyte Growth Factor Receptor
T01851	WP306	Focal Adhesion
T01851	WP2839	Hair Follicle Development: Organogenesis (Part 2 of 3)
T01851	WP2703	Extracellular matrix organization
T01851	WP2666	Elastic fibre formation
T01851	WP2643	Nanoparticle-mediated activation of receptor signaling
T01851	WP2593	JAK/STAT
T01851	WP2572	Primary Focal Segmental Glomerulosclerosis FSGS
T01851	WP2272	Pathogenic Escherichia coli infection
T01851	WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy
T01851	WP2064	Neural Crest Differentiation
T01851	WP1907	Semaphorin interactions
T01851	WP1883	Platelet Adhesion to exposed collagen
T01851	WP185	Integrin-mediated Cell Adhesion
T01851	WP1843	L1CAM interactions
T01851	WP1833	Integrin cell surface interactions
T01851	WP1829	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
T01851	WP1794	Cell surface interactions at the vascular wall
T01851	WP1793	Cell junction organization
T01908	WP2263	Prostate Cancer
T02532	WP1794	Cell surface interactions at the vascular wall
T02562	WP2650	Arachidonic acid metabolism
T02562	WP167	Eicosanoid Synthesis
T02617	WP706	SIDS Susceptibility Pathways
T02617	WP2848	Differentiation Pathway
T02617	WP2670	Iron uptake and transport
T02617	WP2007	Iron metabolism in placenta
T02677	WP395	IL-4 Signaling Pathway
T02677	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer
T02677	WP2757	Mitotic Metaphase and Anaphase
T02677	WP2652	Mitotic Prometaphase
T02677	WP254	Apoptosis
T02677	WP2332	Interleukin-11 Signaling Pathway
T02677	WP1772	Apoptosis Modulation and Signaling
T02703	WP619	Type II interferon signaling (IFNG)
T02703	WP2431	Spinal Cord Injury
T02703	WP2324	AGE/RAGE pathway
T02703	WP1995	Effects of Nitric Oxide
T02719	WP501	GPCRs, Class C Metabotropic glutamate, pheromone
T02719	WP1825	GPCR ligand binding
T02719	WP1824	GPCR downstream signaling
T02728	WP455	GPCRs, Class A Rhodopsin-like
T02728	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
T02728	WP24	Peptide GPCRs
T02728	WP1825	GPCR ligand binding
T02728	WP1824	GPCR downstream signaling
T02728	WP117	GPCRs, Other
T03500	WP366	TGF beta Signaling Pathway
T03500	WP2708	Degradation of collagen
T03500	WP129	Matrix Metalloproteinases
T03556	WP2877	Vitamin D Receptor Pathway
T03556	WP236	Adipogenesis
T03556	WP1897	Regulation of beta-cell development
T03573	WP1829	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
T03634	WP706	SIDS Susceptibility Pathways
T03634	WP560	TGF Beta Signaling Pathway
T03634	WP399	Wnt Signaling Pathway and Pluripotency
T03634	WP366	TGF beta Signaling Pathway
T03634	WP364	IL-6 signaling pathway
T03634	WP2797	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)
T03634	WP2794	Cytosolic sensors of pathogen-associated DNA 
T03634	WP2786	Pre-NOTCH Expression and Processing
T03634	WP2751	Transcriptional Regulation of White Adipocyte Differentiation
T03634	WP2738	YAP1- and WWTR1 (TAZ)-stimulated gene expression
T03634	WP2727	Regulation of Hypoxia-inducible Factor (HIF) by Oxygen
T03634	WP2720	Signaling by NOTCH1
T03634	WP2706	Activation of Gene Expression by SREBP (SREBF)
T03634	WP268	Notch Signaling Pathway
T03634	WP2377	Integrated Pancreatic Cancer Pathway
T03634	WP231	TNF alpha Signaling Pathway
T03634	WP1904	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
T03634	WP1822	Generic Transcription Pathway
T03634	WP1815	Factors involved in megakaryocyte development and platelet production
T03634	WP1797	Circadian Clock
T03634	WP1539	Angiogenesis
T03634	WP138	Androgen receptor signaling pathway
T03644	WP2858	Ectoderm Differentiation
T03644	WP2371	Parkinsons Disease Pathway
T03644	WP2359	Parkin-Ubiquitin Proteasomal System pathway
T03644	WP2059	Alzheimers Disease
T03755	WP254	Apoptosis
T03755	WP1772	Apoptosis Modulation and Signaling
T04321	WP2763	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways
T04507	WP2754	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell
T04507	WP1843	L1CAM interactions
T04773	WP3297	EV release from cardiac cells and their functional effects
T04773	WP2781	Signaling by ERBB4
T04773	WP2328	Allograft Rejection
T04773	WP2005	miR-targeted genes in muscle cell - TarBase
T04773	WP2004	miR-targeted genes in lymphocytes - TarBase
T04773	WP1825	GPCR ligand binding
T04773	WP1824	GPCR downstream signaling
T04902	WP306	Focal Adhesion
T04902	WP2377	Integrated Pancreatic Cancer Pathway
T04902	WP2059	Alzheimers Disease
T04902	WP185	Integrin-mediated Cell Adhesion
T05031	WP75	Toll-like receptor signaling pathway
T05031	WP710	DNA Damage Response (only ATM dependent)
T05031	WP524	G13 Signaling Pathway
T05031	WP51	Regulation of Actin Cytoskeleton
T05031	WP481	Insulin Signaling
T05031	WP2759	Fc epsilon receptor (FCERI) signaling
T05031	WP2747	PI Metabolism
T05031	WP2732	Interleukin-2 signaling
T05031	WP2719	Fcgamma receptor (FCGR) dependent phagocytosis
T05031	WP2694	DAP12 interactions
T05031	WP2677	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
T05031	WP2653	PIP3 activates AKT signaling
T05031	WP2261	Signaling Pathways in Glioblastoma
T05031	WP1927	TCR signaling
T05031	WP1916	Signaling by PDGF
T05031	WP1913	Signaling by Insulin receptor
T05031	WP1873	NGF signalling via TRKA from the plasma membrane
T05031	WP1867	Nephrin interactions
T05031	WP1840	Interleukin-3, 5 and GM-CSF signaling
T05031	WP1826	GPVI-mediated activation cascade
T05031	WP1794	Cell surface interactions at the vascular wall
T05031	WP1544	MicroRNAs in cardiomyocyte hypertrophy
T05031	WP1449	Regulation of toll-like receptor signaling pathway
T05031	WP1403	AMPK Signaling
T05114	WP554	ACE Inhibitor Pathway
T05114	WP2729	Metabolism of Angiotensinogen to Angiotensins
T05409	WP2729	Metabolism of Angiotensinogen to Angiotensins
T05409	WP2572	Primary Focal Segmental Glomerulosclerosis FSGS
T05409	WP2059	Alzheimers Disease
T05643	WP2380	BDNF signaling pathway
T05643	WP1976	Signalling by NGF
T05661	WP430	Statin Pathway
T05661	WP2764	Lipid digestion, mobilization, and transport
T06031	WP722	Serotonin HTR1 Group and FOS Pathway
T06031	WP710	DNA Damage Response (only ATM dependent)
T06031	WP585	Interferon type I signaling pathways
T06031	WP481	Insulin Signaling
T06031	WP437	EGF/EGFR Signaling Pathway
T06031	WP422	MAPK Cascade
T06031	WP400	p38 MAPK Signaling Pathway
T06031	WP384	Apoptosis Modulation by HSP70
T06031	WP382	MAPK Signaling Pathway
T06031	WP314	FAS pathway and Stress induction of HSP regulation
T06031	WP2801	MyD88 cascade initiated on plasma membrane
T06031	WP2795	Cardiac Hypertrophic Response
T06031	WP2768	MyD88 dependent cascade initiated on endosome
T06031	WP2761	MyD88:Mal cascade initiated on plasma membrane
T06031	WP2759	Fc epsilon receptor (FCERI) signaling
T06031	WP2637	Structural Pathway of Interleukin 1 (IL-1)
T06031	WP2571	Polycystic Kidney Disease Pathway
T06031	WP254	Apoptosis
T06031	WP2526	PDGF Pathway
T06031	WP2380	BDNF signaling pathway
T06031	WP231	TNF alpha Signaling Pathway
T06031	WP195	IL-1 signaling pathway
T06031	WP1904	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
T06046	WP554	ACE Inhibitor Pathway
T06046	WP437	EGF/EGFR Signaling Pathway
T06046	WP289	Myometrial Relaxation and Contraction Pathways
T06046	WP2593	JAK/STAT
T06046	WP2355	Corticotropin-releasing hormone
T06046	WP2324	AGE/RAGE pathway
T06046	WP2197	Endothelin Pathways
T06046	WP2034	Leptin signaling pathway
T06046	WP1995	Effects of Nitric Oxide
T06046	WP1850	Metabolism of nitric oxide
T06046	WP1539	Angiogenesis
T06093	WP524	G13 Signaling Pathway
T06093	WP51	Regulation of Actin Cytoskeleton
T06093	WP306	Focal Adhesion
T06093	WP2593	JAK/STAT
T06093	WP2431	Spinal Cord Injury
T06093	WP2272	Pathogenic Escherichia coli infection
T06093	WP2034	Leptin signaling pathway
T06093	WP1907	Semaphorin interactions
T06093	WP185	Integrin-mediated Cell Adhesion
T06093	WP1824	GPCR downstream signaling
T06093	WP1544	MicroRNAs in cardiomyocyte hypertrophy
T06093	WP138	Androgen receptor signaling pathway
T06182	WP706	SIDS Susceptibility Pathways
T06182	WP334	GPCRs, Class B Secretin-like
T06182	WP1825	GPCR ligand binding
T06182	WP1824	GPCR downstream signaling
T06475	WP2272	Pathogenic Escherichia coli infection
T06475	WP2006	miR-targeted genes in squamous cell - TarBase
T06475	WP2005	miR-targeted genes in muscle cell - TarBase
T06475	WP2004	miR-targeted genes in lymphocytes - TarBase
T06475	WP2002	miR-targeted genes in epithelium - TarBase
T06575	WP2691	Peptide hormone biosynthesis
T06671	WP516	Hypertrophy Model
T06671	WP2865	IL1 and megakaryotyces in obesity
T06671	WP2355	Corticotropin-releasing hormone
T06671	WP1433	NOD pathway
T07045	WP706	SIDS Susceptibility Pathways
T07045	WP1873	NGF signalling via TRKA from the plasma membrane
T07045	WP1825	GPCR ligand binding
T07045	WP1824	GPCR downstream signaling
T07279	WP2849	Hematopoietic Stem Cell Differentiation
T07303	WP1919	Signaling by VEGF
T07394	WP61	Notch Signaling Pathway
T07394	WP2854	Gene regulatory network modelling somitogenesis 
T07394	WP2853	Endoderm Differentiation
T07394	WP2849	Hematopoietic Stem Cell Differentiation
T07394	WP2848	Differentiation Pathway
T07394	WP2840	Hair Follicle Development: Cytodifferentiation (Part 3 of 3)
T07394	WP2786	Pre-NOTCH Expression and Processing
T07394	WP2720	Signaling by NOTCH1
T07394	WP268	Notch Signaling Pathway
T07394	WP2572	Primary Focal Segmental Glomerulosclerosis FSGS
T07394	WP2406	Cardiac Progenitor Differentiation
T07394	WP2361	Gastric Cancer Network 1
T07394	WP2064	Neural Crest Differentiation
T07394	WP2005	miR-targeted genes in muscle cell - TarBase
T07394	WP2004	miR-targeted genes in lymphocytes - TarBase
T07394	WP2002	miR-targeted genes in epithelium - TarBase
T07394	WP1897	Regulation of beta-cell development
T07394	WP1822	Generic Transcription Pathway
T07394	WP1591	Heart Development
T07400	WP2884	NRF2 pathway
T07400	WP2882	Nuclear Receptors Meta-Pathway
T07400	WP2794	Cytosolic sensors of pathogen-associated DNA 
T07400	WP2656	TAK1 activates NFkB by phosphorylation and activation of IKKs complex
T07400	WP2324	AGE/RAGE pathway
T07400	WP1904	RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
T07400	WP1781	Advanced glycosylation endproduct receptor signaling
T07533	WP430	Statin Pathway
T07533	WP2784	Binding and Uptake of Ligands by Scavenger Receptors
T07533	WP2776	Visual phototransduction
T07533	WP2764	Lipid digestion, mobilization, and transport
T07533	WP1885	Platelet homeostasis
T07533	WP1794	Cell surface interactions at the vascular wall
T07533	WP176	Folate Metabolism
T07533	WP1533	Vitamin B12 Metabolism
T07533	WP15	Selenium Micronutrient Network
T07958	WP581	EPO Receptor Signaling
T07958	WP2849	Hematopoietic Stem Cell Differentiation
T07958	WP2848	Differentiation Pathway
T07958	WP2727	Regulation of Hypoxia-inducible Factor (HIF) by Oxygen
T08133	WP2877	Vitamin D Receptor Pathway
T08133	WP2004	miR-targeted genes in lymphocytes - TarBase
T08156	WP75	Toll-like receptor signaling pathway
T08156	WP1835	Interferon alpha/beta signaling
T08156	WP1449	Regulation of toll-like receptor signaling pathway
T08231	WP2679	MHC class II antigen presentation
T08306	WP2746	Signaling by the B Cell Receptor (BCR)
T08306	WP23	B Cell Receptor Signaling Pathway
T08856	WP2769	Activation of Matrix Metalloproteinases
T08856	WP129	Matrix Metalloproteinases
T09092	WP706	SIDS Susceptibility Pathways
T09092	WP530	Cytokines and Inflammatory Response
T09092	WP2328	Allograft Rejection
T09572	WP455	GPCRs, Class A Rhodopsin-like
T09572	WP2664	Gastrin-CREB signalling pathway via PKC and MAPK
T09572	WP1825	GPCR ligand binding
T09572	WP1824	GPCR downstream signaling
T10092	WP2749	Metabolism of steroid hormones and vitamin D
T10092	WP2693	Metabolism of amino acids and derivatives
T10092	WP2691	Peptide hormone biosynthesis
T10092	WP2035	FSH signaling pathway
T10092	WP2032	TSH signaling pathway
T10092	WP1981	Thyroxine (Thyroid Hormone) Production
T10092	WP1825	GPCR ligand binding
T10092	WP1824	GPCR downstream signaling
T10265	WP35	G Protein Signaling Pathways
T10265	WP289	Myometrial Relaxation and Contraction Pathways
T10265	WP2882	Nuclear Receptors Meta-Pathway
T10265	WP1978	Opioid Signalling
T10482	WP558	Complement and Coagulation Cascades
T10482	WP2806	Human Complement System
T10482	WP272	Blood Clotting Cascade
T10482	WP1818	Formation of Fibrin Clot (Clotting Cascade)
T10670	WP455	GPCRs, Class A Rhodopsin-like
T10670	WP24	Peptide GPCRs
T10670	WP1825	GPCR ligand binding
T10670	WP1824	GPCR downstream signaling
T10735	WP550	Biogenic Amine Synthesis
T10735	WP2693	Metabolism of amino acids and derivatives
T10965	WP2806	Human Complement System
T10965	WP2431	Spinal Cord Injury
T10965	WP1794	Cell surface interactions at the vascular wall
T11011	WP334	GPCRs, Class B Secretin-like
T11011	WP2355	Corticotropin-releasing hormone
T11011	WP1825	GPCR ligand binding
T11011	WP1824	GPCR downstream signaling
T11283	WP706	SIDS Susceptibility Pathways
T11283	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer
T11309	WP2865	IL1 and megakaryotyces in obesity
T11309	WP2753	Activation of Genes by ATF4
T11309	WP2431	Spinal Cord Injury
T11309	WP2374	Oncostatin M Signaling Pathway
T11309	WP231	TNF alpha Signaling Pathway
T11309	WP2036	TWEAK Signaling Pathway
T11309	WP195	IL-1 signaling pathway
T11309	WP1825	GPCR ligand binding
T11309	WP176	Folate Metabolism
T11309	WP1533	Vitamin B12 Metabolism
T11309	WP15	Selenium Micronutrient Network
T11388	WP2018	RANKL/RANK Signaling Pathway
T11388	WP12	Osteoclast Signaling
T11451	WP75	Toll-like receptor signaling pathway
T11451	WP2775	Toll-Like Receptors Cascades
T11451	WP2768	MyD88 dependent cascade initiated on endosome
T11451	WP2709	Trafficking and processing of endosomal TLR
T11451	WP2677	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
T11451	WP1449	Regulation of toll-like receptor signaling pathway
T11487	WP465	Tryptophan metabolism
T11487	WP311	Synthesis and Degradation of Ketone Bodies
T11487	WP2693	Metabolism of amino acids and derivatives
T11487	WP1817	Fatty acid, triacylglycerol, and ketone body metabolism
T11487	WP143	Fatty Acid Beta Oxidation
T11947	WP2806	Human Complement System
T11947	WP1818	Formation of Fibrin Clot (Clotting Cascade)
T12355	WP710	DNA Damage Response (only ATM dependent)
T12355	WP707	DNA Damage Response
T12355	WP61	Notch Signaling Pathway
T12355	WP45	G1 to S cell cycle control
T12355	WP399	Wnt Signaling Pathway and Pluripotency
T12355	WP366	TGF beta Signaling Pathway
T12355	WP363	Wnt Signaling Pathway Netpath
T12355	WP3286	Copper homeostasis
T12355	WP306	Focal Adhesion
T12355	WP2878	PPAR Alpha Pathway
T12355	WP2857	Mesodermal Commitment Pathway
T12355	WP2839	Hair Follicle Development: Organogenesis (Part 2 of 3)
T12355	WP2828	Bladder Cancer
T12355	WP2786	Pre-NOTCH Expression and Processing
T12355	WP2772	S Phase
T12355	WP2571	Polycystic Kidney Disease Pathway
T12355	WP2446	Retinoblastoma (RB) in Cancer
T12355	WP2431	Spinal Cord Injury
T12355	WP2377	Integrated Pancreatic Cancer Pathway
T12355	WP2263	Prostate Cancer
T12355	WP2261	Signaling Pathways in Glioblastoma
T12355	WP205	IL-7 Signaling Pathway
T12355	WP2034	Leptin signaling pathway
T12355	WP2005	miR-targeted genes in muscle cell - TarBase
T12355	WP2004	miR-targeted genes in lymphocytes - TarBase
T12355	WP2002	miR-targeted genes in epithelium - TarBase
T12355	WP1984	Integrated Breast Cancer Pathway
T12355	WP1545	miRNAs involved in DNA damage response
T12355	WP1530	miRNA Regulation of DNA Damage Response
T12355	WP138	Androgen receptor signaling pathway
T12909	WP383	Striated Muscle Contraction
T12909	WP2858	Ectoderm Differentiation
T12909	WP2703	Extracellular matrix organization
T12909	WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy
T12909	WP1864	Muscle contraction
T13057	WP69	TCR Signaling Pathway
T13057	WP619	Type II interferon signaling (IFNG)
T13057	WP585	Interferon type I signaling pathways
T13057	WP49	IL-2 Signaling Pathway
T13057	WP481	Insulin Signaling
T13057	WP437	EGF/EGFR Signaling Pathway
T13057	WP395	IL-4 Signaling Pathway
T13057	WP364	IL-6 signaling pathway
T13057	WP313	Signaling of Hepatocyte Growth Factor Receptor
T13057	WP304	Kit receptor signaling pathway
T13057	WP286	IL-3 Signaling Pathway
T13057	WP2752	MyD88-independent cascade 
T13057	WP2713	Signaling by SCF-KIT
T13057	WP2704	Interleukin-6 signaling
T13057	WP2678	Prolactin receptor signaling
T13057	WP2677	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
T13057	WP2653	PIP3 activates AKT signaling
T13057	WP2593	JAK/STAT
T13057	WP2526	PDGF Pathway
T13057	WP244	Alpha 6 Beta 4 signaling pathway
T13057	WP2380	BDNF signaling pathway
T13057	WP2374	Oncostatin M Signaling Pathway
T13057	WP2332	Interleukin-11 Signaling Pathway
T13057	WP23	B Cell Receptor Signaling Pathway
T13057	WP2263	Prostate Cancer
T13057	WP2253	Pilocytic astrocytoma
T13057	WP2203	TSLP Signaling Pathway
T13057	WP2034	Leptin signaling pathway
T13057	WP195	IL-1 signaling pathway
T13057	WP1916	Signaling by PDGF
T13057	WP1911	Signaling by FGFR
T13057	WP1910	Signaling by EGFR
T13057	WP1909	Signal regulatory protein (SIRP) family interactions
T13057	WP1885	Platelet homeostasis
T13057	WP1868	Netrin-1 signaling
T13057	WP1840	Interleukin-3, 5 and GM-CSF signaling
T13057	WP1835	Interferon alpha/beta signaling
T13057	WP1799	Costimulation by the CD28 family
T13057	WP1794	Cell surface interactions at the vascular wall
T13057	WP1591	Heart Development
T13057	WP127	IL-5 Signaling Pathway
T13127	WP2776	Visual phototransduction
T13127	WP1784	Apoptotic execution  phase
T13348	WP2431	Spinal Cord Injury
T13348	WP2032	TSH signaling pathway
T13348	WP1787	Base Excision Repair
T13409	WP2684	Host Interactions of HIV factors
T13409	WP2658	HIV Life Cycle
T13714	WP1982	SREBP signalling
T13714	WP170	Nuclear Receptors
T14143	WP474	Endochondral Ossification
T14143	WP400	p38 MAPK Signaling Pathway
T14143	WP382	MAPK Signaling Pathway
T14143	WP2884	NRF2 pathway
T14143	WP2882	Nuclear Receptors Meta-Pathway
T14143	WP2877	Vitamin D Receptor Pathway
T14143	WP2870	Extracellular vesicle-mediated signaling in recipient cells
T14143	WP2703	Extracellular matrix organization
T14143	WP2666	Elastic fibre formation
T14592	WP707	DNA Damage Response
T14592	WP69	TCR Signaling Pathway
T14592	WP384	Apoptosis Modulation by HSP70
T14592	WP382	MAPK Signaling Pathway
T14592	WP314	FAS pathway and Stress induction of HSP regulation
T14592	WP254	Apoptosis
T14592	WP2377	Integrated Pancreatic Cancer Pathway
T14592	WP236	Adipogenesis
T14592	WP2328	Allograft Rejection
T14592	WP2059	Alzheimers Disease
T14592	WP1814	Extrinsic Pathway for Apoptosis
T14592	WP1772	Apoptosis Modulation and Signaling
T14592	WP1530	miRNA Regulation of DNA Damage Response
T14731	WP2377	Integrated Pancreatic Cancer Pathway
T14731	WP2011	SREBF and miR33 in cholesterol and lipid homeostasis
T14731	WP1984	Integrated Breast Cancer Pathway
T14731	WP1982	SREBP signalling
T14731	WP138	Androgen receptor signaling pathway
T14755	WP453	Inflammatory Response Pathway
T14755	WP2328	Allograft Rejection
T14755	WP1829	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
T14834	WP98	Prostaglandin Synthesis and Regulation
T14834	WP400	p38 MAPK Signaling Pathway
T14834	WP2740	Glycerophospholipid biosynthesis
T14834	WP2650	Arachidonic acid metabolism
T14834	WP2526	PDGF Pathway
T14834	WP2377	Integrated Pancreatic Cancer Pathway
T14834	WP2324	AGE/RAGE pathway
T14834	WP1978	Opioid Signalling
T14834	WP1908	Signal amplification
T14834	WP1885	Platelet homeostasis
T14912	WP254	Apoptosis
T14912	WP2005	miR-targeted genes in muscle cell - TarBase
T14912	WP2004	miR-targeted genes in lymphocytes - TarBase
T14912	WP2003	miR-targeted genes in leukocytes - TarBase
T14912	WP1772	Apoptosis Modulation and Signaling
T15068	WP51	Regulation of Actin Cytoskeleton
T15068	WP437	EGF/EGFR Signaling Pathway
T15068	WP366	TGF beta Signaling Pathway
T15068	WP313	Signaling of Hepatocyte Growth Factor Receptor
T15068	WP306	Focal Adhesion
T15068	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer
T15068	WP2643	Nanoparticle-mediated activation of receptor signaling
T15068	WP2593	JAK/STAT
T15068	WP2572	Primary Focal Segmental Glomerulosclerosis FSGS
T15068	WP244	Alpha 6 Beta 4 signaling pathway
T15068	WP2355	Corticotropin-releasing hormone
T15068	WP2034	Leptin signaling pathway
T15068	WP2018	RANKL/RANK Signaling Pathway
T15068	WP1868	Netrin-1 signaling
T15068	WP1866	NCAM signaling for neurite out-growth
T15068	WP185	Integrin-mediated Cell Adhesion
T15068	WP1832	Integrin alphaIIb beta3 signaling
T15068	WP1784	Apoptotic execution  phase
T15068	WP1539	Angiogenesis
T15068	WP138	Androgen receptor signaling pathway
T15167	WP615	Senescence and Autophagy in Cancer
T15167	WP453	Inflammatory Response Pathway
T15167	WP322	Osteoblast Signaling
T15167	WP306	Focal Adhesion
T15167	WP2798	Assembly of collagen fibrils and other multimeric structures
T15167	WP2784	Binding and Uptake of Ligands by Scavenger Receptors
T15167	WP2725	Collagen biosynthesis and modifying enzymes
T15167	WP2643	Nanoparticle-mediated activation of receptor signaling
T15167	WP2005	miR-targeted genes in muscle cell - TarBase
T15167	WP2002	miR-targeted genes in epithelium - TarBase
T15334	WP430	Statin Pathway
T15334	WP2764	Lipid digestion, mobilization, and transport
T15377	WP536	Calcium Regulation in the Cardiac Cell
T15377	WP289	Myometrial Relaxation and Contraction Pathways
T15377	WP2197	Endothelin Pathways
T15377	WP2118	Arrhythmogenic Right Ventricular Cardiomyopathy
T15377	WP2059	Alzheimers Disease
T15377	WP2006	miR-targeted genes in squamous cell - TarBase
T15377	WP2005	miR-targeted genes in muscle cell - TarBase
T15377	WP2004	miR-targeted genes in lymphocytes - TarBase
T15377	WP2003	miR-targeted genes in leukocytes - TarBase
T15377	WP2002	miR-targeted genes in epithelium - TarBase
T15439	WP558	Complement and Coagulation Cascades
T15439	WP2806	Human Complement System
T15439	WP24	Peptide GPCRs
T15439	WP1825	GPCR ligand binding
T15439	WP1824	GPCR downstream signaling
T15494	WP474	Endochondral Ossification
T15494	WP2678	Prolactin receptor signaling
T15494	WP2657	Growth hormone receptor signaling
T15497	WP98	Prostaglandin Synthesis and Regulation
T15497	WP455	GPCRs, Class A Rhodopsin-like
